"census_tract","pct_unemployed","pct_commute_public_transit","median_household_income","mean_household_income","pct_child_uninsured","pct_families_below_poverty_line"
42101031600,15.4,18,37316,51740,5.7,23.8
42101031700,8.3,18.2,45657,50978,5.2,10.5
42101031800,14.1,13.1,36694,49816,14.4,22.1
42101031900,9.6,22.8,39057,50977,3.1,20.9
42101032000,8.1,20.5,41074,53280,0,7.1
42101032100,19.1,20.2,35996,42473,3.4,21.1
42101032300,12,19.4,40625,45204,8.1,9.3
42101032500,8.9,20.8,43704,49329,1.6,19.3
42101032600,11.8,14.6,50221,53148,7,18
42101032900,11.1,28.7,39437,47527,3.7,6.2
42101033000,14.4,21.6,38070,45892,0.6,23.3
42101033101,14.4,10.5,57335,62902,0.7,11.9
42101033102,7.6,11.7,48603,54836,3.4,9.2
42101033200,3.8,13.9,61806,77121,1.3,4.5
42101033300,12,10.1,35994,51524,19.5,13.9
42101033400,11.9,15.1,50263,57381,3.3,19.7
42101033500,14.9,11.3,52279,56081,8.3,24.4
42101033600,9.6,12.9,45887,55652,0,12.6
42101033701,4.1,18.5,31442,44651,0,21.7
42101033702,8.1,19.4,57619,74787,5.5,5.3
42101033800,19.4,7,44770,55528,10,15.2
42101033900,9.7,13.9,50509,66683,12.3,8.6
42101034000,8.3,13.2,64038,72386,9.7,9.2
42101034100,7.8,18.2,66591,78370,0,2.8
42101034200,5.5,12.2,49821,68323,1.8,7.1
42101034400,4.9,11.9,85058,91940,2.7,1.6
42101034501,2.6,13.4,27005,37768,4.1,24.9
42101034502,8.9,14.1,42114,48145,6.6,11.5
42101034600,4.7,15.6,44205,51434,0,8.8
42101034701,4.5,8.3,53742,61809,9.4,6.2
42101034702,6.5,12.7,70020,82496,7.9,1.9
42101034801,3.6,8.9,47368,60299,8.2,8.7
42101034802,10.6,9.4,41125,59813,0,2.5
42101034803,6.8,12.4,56394,68092,4,4
42101034900,8.2,13.5,45503,50227,1,11.2
42101035100,10.4,10.2,53463,64798,0,3.5
42101035200,5.1,9.3,65511,80728,0,4.7
42101035301,4.8,5.3,69405,71990,1.5,5.2
42101035302,12.1,11.1,51577,61924,3.6,9.5
42101035500,8.6,17.8,46594,67726,6,9.8
42101035601,7.2,9.7,47003,67019,1.9,4.6
42101035602,3,10.7,67083,96319,0,2.5
42101035701,7.9,10.5,31719,44118,4.6,21.3
42101035702,7.3,6.3,36231,43488,8.5,19.2
42101035800,9.2,6.6,55108,71478,12,6.4
42101035900,9.2,4.6,55082,73449,4.2,6.8
42101036000,7.2,7.1,53708,71617,0,5.2
42101036100,8.3,12.2,66607,75578,1,8.2
42101036201,8.2,6.8,55927,66171,6.1,3.8
42101036202,3.8,13.1,51579,72928,0,4.9
42101036203,6.6,5.3,68785,82995,8.2,5.7
42101036301,4.2,7.8,64107,77397,3.5,8.5
42101036302,4.8,17.5,47267,61477,3.2,2
42101036303,8,9.7,59462,73766,1.5,2.7
42101036400,21.8,13.2,56719,83441,0,0
42101036501,5.7,9.2,42661,60163,1.4,9.6
42101036502,6.5,7.8,77443,83363,1.5,5.9
42101036600,6,16.1,101447,127011,0,3.6
42101036700,9.8,21.4,94914,127755,0,0
42101036900,7.4,14.9,44464,82194,23.4,10.3
42101037200,8.1,26.4,57955,77555,0,11.3
42101037300,3.9,24.9,78209,108267,3.8,1.3
42101037500,9.4,15.2,67736,91576,1.2,13
42101037600,13.6,20.7,47632,60513,0,27.5
42101037700,17.1,27.4,28452,35155,4,27
42101037800,10.5,26.6,52500,77115,0,20.7
42101037900,12.8,9.2,51204,63071,4.1,9.2
42101038000,10.9,17.6,41202,50357,1.3,29.2
42101038100,22,16.8,31875,40189,3.3,22.1
42101038200,14.8,23.2,26667,43037,7.2,20.7
42101038300,25.2,26.6,23382,30403,4,48.2
42101038400,8.2,8.6,84519,101170,4.5,5.4
42101038500,6,16.6,86058,149994,0,1.5
42101038600,6.3,11.8,145104,228178,0,2.4
42101038700,6.6,18.3,137386,194093,0,1.1
42101038800,7.2,23.7,74886,112356,0,1.5
42101038900,16,23.4,34674,53873,4.5,12.2
42101039000,27.3,27.3,31063,41917,2.9,36.1
42101980000,2.6,10.7,64375,78493,0,0
42101980100,0,10.4,92500,99554,0,20
42101980200,6.1,1.7,113021,114265,0,0
42101980300,NA,NA,NA,NA,NA,NA
42101980400,NA,NA,NA,NA,NA,NA
42101980500,NA,NA,NA,NA,NA,NA
42101980600,NA,NA,NA,NA,NA,NA
42101980700,NA,NA,NA,NA,NA,NA
42101980800,NA,NA,NA,NA,NA,NA
42101980900,NA,NA,NA,NA,NA,NA
42101989100,75,0,NA,NA,NA,NA
